char,prc_default,tw_primary,tw_std_set
啰,luo1,luo2,luo1 luo2
啴,chan3,tan1,chan3 tan1
喀,ka1,ka4,ka1 ka4 ke4
喏,nuo4,re3,nuo4 re3
喒,za2,zan2,za2 zan2
喔,o1,wo4,o1 wo4
喪,sang4,sang1,sang1 sang4
嗄,a2,sha4,a2 sha4
嗌,ai4,yi4,ai4 yi4
嗒,da1,ta4,da1 ta4
嗛,qian3,qian1,qian1 qian3 qian4 xian2
嗻,zhe1,zhe4,zhe1 zhe4
嘁,qi1,za2,qi1 za2
嘛,ma5,ma2,ma2 ma5
嘽,chan3,tan1,chan3 tan1
嘿,hei1,mo4,hei1 mo4
噌,ceng1,cheng1,ceng1 ceng3 cheng1
噦,hui4,yue1,hui4 yue1
噫,yi1,yi4,yi4
嚇,xia4,he4,he4 xia4
嚜,me5,mo4,me5 mo4
囉,luo1,luo2,luo1 luo2
圜,huan2,yuan2,huan2 yuan2
圩,wei2,yu2,yu2
圳,zhen4,zun4,zhen4 zun4
场,chang3,chang2,chang2 chang3
坯,pi1,pei1,pei1
坳,ao4,ao1,ao1
埏,shan1,yan2,shan1 yan2
埤,pi2,pi4,bei1 bi4 pi2 pi4
堋,peng2,beng4,beng4 peng2
堤,di1,ti2,ti2
場,chang3,chang2,chang2 chang3
塞,sai1,se4,sai1 sai4 se4
墐,jin4,jin3,jin3
夹,jia1,jia2,jia2 jia4
夾,jia1,jia2,jia2 jia4
姣,jiao1,jiao3,jiao3
姥,lao3,mu3,lao3 mu3
娜,na4,nuo2,na4 nuo2
娩,mian3,wan3,mian3 wan3
嫇,ming2,meng2,meng2 ming2
嬛,huan2,qiong2,huan2 qiong2 xuan1
子,zi5,zi3,zi3 zi5
孛,bei4,bo2,bei4 bo2
孱,can4,chan2,can4 chan2
尨,mang2,pang2,mang2 meng2 pang2
岗,gang3,gang1,gang1 gang3
峒,dong4,tong2,dong4 tong2
崗,gang3,gang1,gang1 gang3
嵌,qian4,qian1,kan3 qian1 qian4
巜,kuai4,guai4,guai4
差,cha4,cha1,cha1 cha4 chai1 chai4 ci1 cuo1
帆,fan1,fan2,fan1 fan2
帑,tang3,nu2,nu2 tang3
帣,juan3,juan4,juan3 juan4
帱,chou2,dao4,chou2 dao4
幬,chou2,dao4,chou2 dao4
庋,gui3,ji3,ji3
庬,mang2,meng3,mang2 meng3 pang2
廁,ce4,ci4,ce4 ci4 si4
廈,sha4,xia4,sha4 xia4
弛,chi2,shi3,shi3
微,wei1,wei2,wei2
徼,jiao3,jiao4,jiao1 jiao3 jiao4 yao1
忕,shi4,tai4,shi4 tai4
忪,song1,zhong1,song1 zhong1
怯,qie4,que4,qie4 que4
恫,dong4,tong1,dong4 tong1
悖,bei4,bo2,bei4 bo2
愒,kai4,qi4,kai4 qi4
慑,she4,zhe2,zhe2
懾,she4,zhe2,zhe2
戆,gang4,zhuang4,zhuang4
戗,qiang1,qiang4,qiang1 qiang4
戧,qiang1,qiang4,qiang1 qiang4
扛,kang2,gang1,gang1 kang2
抡,lun1,lun2,lun1 lun2
抻,chen1,shen4,shen4
拗,ao3,ao4,ao3 ao4 niu4 yu4
拥,yong1,yong3,yong3
括,kuo4,gua1,gua1
拽,zhuai1,zhuai4,ye4 zhuai1 zhuai4
捋,lü3,le4,le4 luo1 lü3
捞,lao1,lao2,lao1 lao2
捽,zuo2,zu2,zu2 zuo2
掄,lun1,lun2,lun1 lun2
掇,duo1,duo2,duo2
掖,ye1,ye4,ye1 ye4 yi4
掺,can4,shan1,can4 chan1 shan1 shan3
搂,lou3,lou2,lou1 lou2 lou3
搳,hua2,xia2,hua2 xia2
携,xie2,xi1,xi1 xie2
摟,lou3,lou2,lou1 lou2 lou3
摻,can4,shan1,can4 chan1 shan1 shan3
撈,lao1,lao2,lao1 lao2
撩,liao1,liao2,liao1 liao2
撬,qiao4,qiao1,qiao1
撷,xie2,jie2,jie2
