開化寺,Khai hòa sī
溪州,Khe chiu
溪州鄉,Khe chiu hiong
溪口,Khe kháu
溪口鄉,Khe kháu hiong
溪頭,Khe thâu
溪湖鎮,Khe ô͘ tìn
客語,Kheh gí
客語,Kheh gú
客人,Kheh lâng
客話,Kheh ōe
姜,Khiong
康,Khng
科學博物館,Kho ha̍k Phok bu̍t koán
科技大樓,Kho ki Tōa lâu
闕,Khoat
溪頭,Khoe thâu
匡,Khong
康樂,Khong lo̍k
丘,Khu
邱,Khu
昆陽,Khun iông
嵌頭屋,Khàm thâu ok
崁頂,Khàm téng
崁頂鄉,Khàm téng hiong
崁仔跤,Khàm á kha
凱旋,Khái soân
口湖鄉,Kháu ô͘ hiong
慶安宮,Khèng an kiong
槓仔寮,Khòng  liâu
寇,Khò͘
孔,Khóng
孔子廟,Khóng chú biō
孔子公,Khóng chú kong
許,Khó͘
槓仔寮,Không á liâu
瞿,Khû
姬,Ki
技擊館,Ki kek koán
唭哩岸,Ki lí gān
基督,Ki tok
基督教,Ki tok kàu
吉,Kiat
吉安,Kiat an
吉安鄉,Kiat an hiong
吉野,Kiat iá
金,Kim
金星,Kim chheⁿ
金星,Kim chhiⁿ
金峰鄉,Kim hong hiong
金崙,Kim lun
金寧鄉,Kim lêng hiong
金崙,Kim lūn
金門縣,Kim mn̂g koān
金包里,Kim pau lí
金山區,Kim san khu
金城鎮,Kim siâⁿ tìn
金沙鎮,Kim soa tìn
金湖鎮,Kim ô͘ tìn
芎林鄉,Kiong nâ hiong
急水溪,Kip chúi khe
羌仔寮,Kiuⁿ á liâu
劍南路,Kiàm lâm lō͘
劍潭,Kiàm thâm
鹹菜甕,Kiâm chhài pêⁿ
鹹菜甕,Kiâm chhài àng
鹽水溪,Kiâm chúi khe
鹽水區,Kiâm chúi khu
鹹埔,Kiâm po͘
喬,Kiâu
橋頭,Kiô thâu
橋頭火車站,Kiô thâu Hóe chhia chām
橋頭糖廠,Kiô thâu Thn̂g chhiúⁿ
橋頭區,Kiô thâu khu
橋仔頭,Kiô á thâu
九如鄉,Kiú jû hiong
九曲堂,Kiú khiok tông
九芎林,Kiú kiong nâ
仇,Kiû
崎頂,Kiā téng
戈,Ko
高,Ko
高樹鄉,Ko chhiū hiong
高樹跤,Ko chhiū kha
高雄,Ko hiông
高雄車站,Ko hiông Chhia chām
高雄國際機場,Ko hiông Kok chè Ki tiûⁿ
高雄市,Ko hiông chhī
高雄港,Ko hiông káng
高屏溪,Ko pîn khe
柯,Koa
關,Koan
關廟區,Koan biō khu
觀音,Koan im
觀音區,Koan im khu
